BUS_V,SHUNT_MV,LOAD_V,CURRENT_MA
7.41,8.65,7.42,86.40
7.40,8.81,7.40,88.00
7.39,8.80,7.40,87.80
7.38,8.77,7.39,87.30
7.38,8.80,7.39,87.90
7.38,8.76,7.38,87.60
7.37,8.82,7.38,88.40
7.36,8.80,7.37,87.80
7.37,8.71,7.38,87.20
7.36,8.77,7.37,87.60
7.35,8.81,7.36,87.90
7.36,8.63,7.37,86.20
7.35,8.65,7.36,87.00
7.35,8.64,7.36,86.30
7.35,8.64,7.36,86.80
7.36,8.51,7.36,85.00
7.32,8.89,7.33,88.40
7.33,8.74,7.34,87.40
7.33,8.70,7.34,86.80
7.34,8.58,7.35,86.00
7.32,8.76,7.33,87.90
7.32,8.68,7.33,86.70
7.32,8.66,7.33,86.50
7.32,8.62,7.33,86.40
7.32,8.61,7.33,86.10
7.32,8.64,7.32,86.40
7.32,8.61,7.32,86.10
7.32,8.59,7.33,85.60
7.32,8.54,7.33,85.70
7.32,8.59,7.32,85.90
7.31,8.58,7.32,86.00
7.31,8.60,7.32,86.00
7.32,8.37,7.33,84.10
7.30,8.67,7.30,86.90
7.30,8.59,7.31,86.30
7.30,8.58,7.31,86.00
7.30,8.58,7.31,85.60
7.30,8.56,7.31,85.60
7.30,8.58,7.30,85.60
7.30,8.57,7.30,85.80
7.30,8.56,7.30,85.80
7.29,8.56,7.30,85.90
7.28,8.56,7.29,85.90
7.28,8.58,7.29,85.70
7.29,8.56,7.30,85.60
7.28,8.57,7.29,85.70
7.28,8.53,7.29,85.30
7.28,8.54,7.29,85.40
7.28,8.57,7.28,85.50
7.28,8.54,7.28,85.70
7.28,8.55,7.28,85.30
7.27,8.53,7.28,85.60
7.29,8.27,7.30,82.90
7.27,8.58,7.28,85.80
7.26,8.61,7.27,85.70
7.27,8.56,7.28,85.50
7.27,8.51,7.28,85.00
7.30,8.12,7.31,80.40
7.28,8.33,7.29,83.50
7.26,8.58,7.27,86.00
7.25,8.66,7.26,86.80
7.25,8.61,7.26,86.20
7.26,8.56,7.26,85.70
7.25,8.63,7.26,86.00
7.26,8.55,7.26,85.20
7.26,8.53,7.26,85.20
7.25,8.53,7.26,84.90
7.25,8.47,7.26,85.10
7.25,8.57,7.26,85.50
7.26,8.46,7.26,85.00
7.25,8.48,7.26,84.70
7.25,8.49,7.26,84.80
7.25,8.48,7.26,84.90
7.24,8.53,7.25,85.50
7.25,8.50,7.26,84.90
7.25,8.48,7.26,84.80
7.24,8.49,7.25,84.90
7.24,8.50,7.25,84.90
7.24,8.51,7.24,85.40
7.24,8.48,7.25,84.70
7.24,8.48,7.25,84.60
7.24,8.46,7.25,84.70
7.24,8.48,7.25,84.80
7.23,8.54,7.24,85.50
7.24,8.46,7.24,84.60
7.23,8.47,7.24,84.70
7.23,8.45,7.24,84.50
7.22,8.54,7.23,85.30
7.23,8.48,7.24,84.70
7.24,8.36,7.24,83.40
7.24,8.33,7.25,83.10
7.23,8.46,7.24,84.60
7.22,8.46,7.23,84.80
7.22,8.53,7.23,85.00
7.23,8.44,7.24,84.40
7.23,8.41,7.24,84.40
