ñÛúˆçÎíıúÌ°¸´Òù¿ñÀ´Òàƒñ…âƒ–ËòÓ´˜ñŸîÈñÈîÈúÌ– –÷úÌàƒíÌñ—ñÎúÔñÎ–™¡”í—åÔîÎ“ãí—çÔñÎ–´ñ—úÔ–´•¯·”Hello!
Measuring voltage and current with INA219 ...
BUS_V	SHUNT_MV	LOAD_V	CURRENT_MA
8.13	3.38	8.13	33.90
8.12	3.36	8.13	33.90
8.12	3.39	8.13	33.60
8.12	3.37	8.13	33.70
8.12	3.39	8.13	33.70
8.12	3.37	8.13	33.90
8.13	3.40	8.13	33.70
8.12	3.37	8.13	33.70
8.12	3.37	8.13	33.50
8.12	3.37	8.13	33.80
8.12	3.39	8.13	33.70
8.12	3.38	8.13	33.90
8.12	3.38	8.13	33.70
8.12	3.38	8.13	33.50
8.12	3.36	8.13	33.90
8.12	3.36	8.13	33.70
8.13	3.41	8.13	33.80
8.12	3.35	8.13	33.70
8.12	3.37	8.13	33.80
8.12	3.39	8.13	33.50
8.12	3.39	8.13	33.80
8.12	3.36	8.13	33.70
8.12	3.37	8.13	33.70
8.12	3.37	8.13	33.80
8.12	3.39	8.13	33.70
8.12	3.35	8.13	33.30
8.12	3.35	8.13	33.50
8.12	3.34	8.12	33.70
8.12	3.35	8.13	33.90
8.12	3.37	8.13	33.80
8.12	3.35	8.13	33.60
8.12	3.37	8.13	33.50
8.12	3.37	8.13	33.80
8.12	3.35	8.13	33.80
8.10	5.14	8.10	51.10
8.09	5.12	8.09	51.30
8.09	5.11	8.09	51.10
8.08	5.10	8.09	51.40
8.08	5.14	8.09	51.10
8.08	5.12	8.09	51.00
8.08	5.11	8.09	51.10
8.08	5.10	8.09	50.90
8.08	5.09	8.09	50.90
8.08	5.08	8.08	51.00
8.08	5.09	8.09	50.70
8.08	5.08	8.08	50.50
8.08	5.06	8.09	50.60
8.08	5.03	8.08	50.60
8.08	5.03	8.08	50.70
8.08	5.06	8.08	50.50
8.08	5.06	8.08	50.70
8.08	5.04	8.08	50.30
8.08	5.03	8.08	50.20
8.08	5.06	8.09	50.50
8.08	5.06	8.08	50.60
8.11	3.39	8.11	34.00
8.11	3.38	8.12	33.80
8.11	3.37	8.12	33.80
8.12	3.37	8.12	33.80
8.12	3.35	8.12	33.50
8.12	3.39	8.12	33.70
8.12	3.35	8.12	33.70
8.12	3.37	8.12	33.70
8.12	3.39	8.12	33.90
8.12	3.37	8.12	33.80
8.12	3.36	8.12	33.90
8.12	3.37	8.12	33.80
8.12	3.37	8.12	33.70
8.12	3.37	8.12	33.80
8.12	3.39	8.12	33.60
8.12	3.37	8.12	33.90
8.12	3.39	8.12	33.90
8.12	3.38	8.12	33.70
8.12	3.38	8.12	33.60
8.12	3.37	8.12	33.70
