Hello!
Measuring voltage and current with INA219 ...
BUS_V	SHUNT_MV	LOAD_V	CURRENT_MA
8.09	4.01	8.10	40.10
8.09	3.99	8.10	39.90
8.09	4.01	8.10	39.70
8.10	3.99	8.10	40.10
8.09	3.99	8.09	40.00
8.09	4.02	8.09	39.90
8.09	4.01	8.10	40.20
8.09	4.03	8.10	40.10
8.06	5.79	8.06	58.50
8.06	5.80	8.06	58.20
8.05	5.79	8.05	58.00
8.05	5.79	8.06	58.10
8.05	5.76	8.06	57.60
8.05	5.76	8.05	57.40
8.04	5.76	8.05	57.40
8.04	5.74	8.05	57.20
8.05	5.71	8.05	57.40
8.04	5.72	8.05	57.00
8.04	5.70	8.05	56.80
8.04	5.66	8.05	56.80
8.04	5.68	8.05	56.70
8.05	5.67	8.05	56.40
8.04	5.72	8.05	56.60
8.05	5.66	8.05	56.60
8.05	5.67	8.05	56.60
8.04	5.66	8.05	56.50
8.04	5.67	8.05	56.50
8.05	5.63	8.05	56.60
8.07	4.02	8.08	40.00
8.08	4.00	8.08	40.00
8.08	4.00	8.09	39.70
8.09	4.01	8.09	40.10
8.08	3.99	8.09	40.00
8.08	3.99	8.09	39.90
8.09	3.99	8.09	40.20
8.09	4.02	8.09	40.00
8.09	4.00	8.09	40.30
8.08	4.00	8.09	39.90
8.09	4.02	8.09	40.00
8.08	4.01	8.09	40.00
8.08	4.03	8.09	40.10
8.09	4.02	8.09	40.00
8.08	3.98	8.09	40.10
8.08	3.99	8.09	40.00
8.08	3.99	8.09	40.00
8.08	3.98	8.09	40.10
8.08	4.01	8.09	40.00
8.09	3.98	8.09	40.10
8.09	4.02	8.09	40.10
8.09	4.00	8.09	40.00
8.08	4.00	8.09	40.00
8.08	3.99	8.09	40.10
8.08	4.01	8.09	40.20
8.08	3.99	8.09	40.30
8.09	3.98	8.09	40.20
8.08	3.97	8.09	40.00
8.09	4.02	8.09	40.10
8.08	4.01	8.09	40.00
8.08	3.96	8.09	40.10
8.08	4.00	8.09	40.10
8.09	4.00	8.09	40.20
8.09	4.01	8.09	39.80
8.08	4.01	8.09	40.00
8.08	4.01	8.09	40.20
