TIME	TEMP
2015-1-12T22:36:53Z	22.437
2015-1-12T22:37:4Z	22.437
2015-1-12T22:37:15Z	22.437
2015-1-12T22:38:25Z	22.375
2015-1-12T22:38:36Z	22.375
2015-1-12T22:41:23Z	22.125
2015-1-12T22:41:34Z	22.125
2015-1-12T22:41:45Z	22.062
2015-1-12T22:41:56Z	22.062
2015-1-12T22:42:7Z	22.062
2015-1-12T22:48:27Z	21.875
2015-1-12T22:48:30Z	21.937
2015-1-12T22:48:41Z	22.750
2015-1-12T22:48:52Z	22.500
2015-1-12T22:49:3Z	21.000
2015-1-12T22:49:14Z	19.562
2015-1-12T22:49:25Z	18.250
2015-1-12T22:49:36Z	16.875
2015-1-12T22:49:47Z	15.562
2015-1-12T22:49:58Z	14.437
2015-1-12T22:50:9Z	13.562
2015-1-12T22:50:20Z	12.750
2015-1-12T22:50:31Z	11.937
2015-1-12T22:50:43Z	11.187
2015-1-12T22:50:54Z	10.500
2015-1-12T22:51:5Z	9.937
2015-1-12T22:51:16Z	9.375
2015-1-12T22:51:27Z	8.937
2015-1-12T22:51:38Z	8.437
2015-1-12T22:51:49Z	8.062
2015-1-12T22:52:0Z	7.688
2015-1-12T22:52:11Z	7.375
2015-1-12T22:52:22Z	7.063
2015-1-12T22:52:33Z	6.813
2015-1-12T22:52:44Z	6.563
2015-1-12T22:52:55Z	6.375
2015-1-12T22:53:7Z	6.125
2015-1-12T22:53:18Z	6.000
2015-1-12T22:53:29Z	5.813
2015-1-12T22:53:40Z	5.688
2015-1-12T22:53:51Z	5.563
2015-1-12T22:54:2Z	5.438
2015-1-12T22:54:13Z	5.313
2015-1-12T22:54:24Z	5.188
2015-1-12T22:54:35Z	5.063
2015-1-12T22:54:46Z	5.000
2015-1-12T22:54:57Z	4.875
2015-1-12T22:55:8Z	4.813
2015-1-12T22:55:19Z	4.750
2015-1-12T22:55:31Z	4.688
2015-1-12T22:55:42Z	4.688
2015-1-12T22:55:53Z	4.625
2015-1-12T22:56:4Z	4.625
2015-1-12T22:56:15Z	4.500
2015-1-12T22:56:26Z	4.500
2015-1-12T22:56:37Z	4.500
2015-1-12T22:56:48Z	4.438
2015-1-12T22:56:59Z	4.375
2015-1-12T22:57:10Z	4.375
2015-1-12T22:57:21Z	4.375
2015-1-12T22:57:32Z	4.375
2015-1-12T22:57:43Z	4.375
2015-1-12T22:57:55Z	4.313
